'Frame (30fps)', 'hips' (mm), 'neck', 'head', 'eye_R', 'eye_L', 'clavicle_R', 'shoulder_R', 'upperArm_R', 'elbow_R', 'lowerArm_R', 'hand_R', 'clavicle_L', 'shoulder_L', 'upperArm_L', 'elbow_L', 'lowerArm_L', 'hand_L', 'upperLeg_R', 'knee_R', 'ankle_R', 'upperLeg_L', 'knee_L', 'ankle_L', 'toes_r', 'toes_l', 'fingers_r_Ctrl', 'fingers_l_Ctrl'
296,-15,6.63,-1.37,-6.63,-6.63,88.21,-14.97,-22.42,-37.45,-75.57,-82.02,53.48,-24.05,-47,-24.46,-0.06,38.81,-15.68,30.6,-14.93,-13.72,30.39,-16.66,-52.55,-43.3,0,100
297,-16,6.62,-1.28,-6.62,-6.62,88.19,-15,-21.92,-36.75,-75.63,-81.81,53.72,-24.04,-47.97,-23.38,2.63,40.17,-16.08,31.39,-15.31,-14.13,31.18,-17.05,-52.99,-43.45,0,100
298,-16,6.61,-1.18,-6.61,-6.61,88.12,-15.02,-21.4,-36.07,-75.7,-81.6,53.87,-24.04,-48.92,-22.32,5.3,41.59,-16.45,32.12,-15.67,-14.5,31.91,-17.41,-53.43,-43.6,0,100
299,-17,6.59,-1.09,-6.59,-6.59,88.03,-15.05,-20.85,-35.4,-75.77,-81.4,53.92,-24.04,-49.86,-21.3,7.93,43.02,-16.85,32.9,-16.04,-14.9,32.69,-17.8,-53.86,-43.73,0,100
300,-18,6.58,-1,-6.58,-6.58,87.9,-15.07,-20.28,-34.76,-75.84,-81.2,53.82,-24.03,-50.8,-20.31,10.53,44.44,-17.32,33.82,-16.49,-15.36,33.62,-18.25,-54.28,-43.86,0,100
301,-19,6.57,-0.91,-6.57,-6.57,87.75,-15.1,-19.68,-34.14,-75.93,-81.02,53.53,-24.03,-51.72,-19.36,13.1,45.8,-17.81,34.77,-16.96,-15.85,34.58,-18.73,-54.7,-43.97,0,100
302,-20,6.56,-0.82,-6.56,-6.56,87.58,-15.13,-19.06,-33.56,-76.01,-80.84,53.08,-24.03,-52.63,-18.45,15.63,47.06,-18.23,35.59,-17.36,-16.27,35.4,-19.13,-55.1,-44.08,0,100
303,-21,6.55,-0.74,-6.55,-6.55,87.4,-15.16,-18.41,-33.02,-76.1,-80.68,52.51,-24.03,-53.54,-17.57,18.11,48.17,-18.56,36.22,-17.66,-16.59,36.03,-19.44,-55.5,-44.17,0,100
304,-21,6.53,-0.65,-6.53,-6.53,87.2,-15.2,-17.73,-32.51,-76.19,-80.54,51.83,-24.02,-54.43,-16.73,20.54,49.11,-18.82,36.73,-17.91,-16.85,36.55,-19.69,-55.89,-44.25,0,100
305,-22,6.52,-0.56,-6.52,-6.52,87.01,-15.23,-17.03,-32.06,-76.29,-80.41,51.08,-24.02,-55.31,-15.93,22.93,49.83,-19.02,37.13,-18.11,-17.06,36.95,-19.89,-56.27,-44.32,0,100
306,-22,6.5,-0.48,-6.5,-6.5,86.81,-15.27,-16.31,-31.65,-76.4,-80.29,50.29,-24.02,-56.17,-15.18,25.26,50.3,-19.16,37.4,-18.24,-17.19,37.22,-20.02,-56.65,-44.37,0,100
307,-22,6.49,-0.4,-6.49,-6.49,86.63,-15.31,-15.56,-31.3,-76.53,-80.19,49.48,-24.02,-57.03,-14.47,27.53,50.46,-19.25,37.57,-18.32,-17.28,37.39,-20.11,-57.01,-44.41,0,100
308,-23,6.47,-0.31,-6.47,-6.47,86.45,-15.35,-14.79,-31.02,-76.69,-80.12,48.69,-24.05,-57.87,-13.8,29.74,50.46,-19.32,37.71,-18.39,-17.35,37.53,-20.18,-57.37,-44.44,0,100
309,-23,6.46,-0.23,-6.46,-6.46,86.3,-15.39,-14,-30.8,-76.9,-80.06,47.94,-24.14,-58.71,-13.19,31.88,50.45,-19.4,37.86,-18.46,-17.43,37.68,-20.25,-57.72,-44.44,0,100
310,-23,6.44,-0.15,-6.44,-6.44,86.17,-15.44,-13.19,-30.65,-77.13,-80.02,47.26,-24.28,-59.52,-12.62,33.95,50.44,-19.48,38.01,-18.54,-17.51,37.83,-20.33,-58.07,-44.42,0,100
311,-23,6.42,-0.08,-6.42,-6.42,86.06,-15.49,-12.36,-30.57,-77.4,-80.01,46.69,-24.46,-60.33,-12.1,35.96,50.43,-19.64,38.3,-18.66,-17.58,37.98,-20.4,-58.4,-44.36,0,100
312,-23,6.41,0,-6.41,-6.41,85.98,-15.57,-11.51,-30.54,-77.7,-80.08,46.24,-24.7,-61.13,-11.64,37.88,50.41,-19.97,38.84,-18.87,-17.65,38.11,-20.46,-58.73,-44.26,0,100
313,-23,6.39,0.08,-6.39,-6.39,85.91,-15.71,-10.65,-30.51,-78.02,-80.26,45.95,-24.97,-61.91,-11.22,39.73,50.39,-20.45,39.62,-19.17,-17.71,38.23,-20.52,-59.05,-44.12,0,100
314,-24,6.37,0.16,-6.37,-6.37,85.85,-15.9,-9.76,-30.48,-78.37,-80.55,45.85,-25.29,-62.68,-10.85,41.49,50.35,-21.07,40.61,-19.54,-17.76,38.34,-20.58,-59.37,-43.94,0,100
315,-24,6.35,0.24,-6.35,-6.35,85.8,-16.15,-8.86,-30.45,-78.74,-80.93,45.86,-25.63,-63.43,-10.52,43.16,50.32,-21.81,41.78,-19.97,-17.81,38.44,-20.63,-59.67,-43.73,0,100
316,-24,6.33,0.32,-6.33,-6.33,85.76,-16.45,-7.94,-30.42,-79.13,-81.37,45.91,-26.01,-64.17,-10.22,44.75,50.27,-22.66,43.11,-20.44,-17.86,38.54,-20.67,-59.97,-43.48,0,100
317,-24,6.31,0.41,-6.31,-6.31,85.73,-16.8,-7.01,-30.4,-79.53,-81.88,45.99,-26.42,-64.9,-9.96,46.24,50.22,-23.61,44.56,-20.95,-17.91,38.63,-20.72,-60.26,-43.21,0,100
318,-24,6.29,0.49,-6.29,-6.29,85.7,-17.2,-6.06,-30.37,-79.95,-82.42,46.09,-26.85,-65.61,-9.73,47.63,50.15,-24.62,46.1,-21.48,-17.94,38.7,-20.75,-60.55,-42.9,0,100
319,-24,6.26,0.58,-6.26,-6.26,85.68,-17.64,-5.09,-30.35,-80.37,-82.99,46.23,-27.3,-66.31,-9.53,48.92,50.08,-25.69,47.71,-22.02,-17.96,38.74,-20.77,-60.82,-42.56,0,100
320,-24,6.24,0.68,-6.24,-6.24,85.66,-18.11,-4.12,-30.33,-80.81,-83.56,46.39,-27.77,-67,-9.36,50.1,50,-26.81,49.37,-22.55,-17.97,38.74,-20.77,-61.09,-42.2,0,100
321,-24,6.22,0.77,-6.22,-6.22,85.64,-18.63,-3.13,-30.31,-81.25,-84.13,46.57,-28.25,-67.67,-9.21,51.17,49.9,-27.97,51.04,-23.08,-17.95,38.72,-20.76,-61.36,-41.81,0,100
322,-24,6.19,0.86,-6.19,-6.19,85.63,-19.17,-2.13,-30.29,-81.69,-84.67,46.78,-28.74,-68.32,-9.09,52.14,49.8,-29.16,52.75,-23.59,-17.93,38.67,-20.74,-61.61,-41.4,0,100
323,-24,6.17,0.96,-6.17,-6.17,85.61,-19.75,-1.11,-30.27,-82.13,-85.17,47.01,-29.23,-68.97,-8.98,52.98,49.68,-30.37,54.46,-24.09,-17.9,38.61,-20.71,-61.86,-40.97,0,100
324,-24,6.13,1.06,-6.13,-6.13,85.59,-20.36,-0.09,-30.26,-82.57,-85.62,47.27,-29.73,-69.59,-8.89,53.71,49.55,-31.61,56.18,-24.57,-17.86,38.54,-20.67,-62.1,-40.51,0,100
325,-24,6.09,1.16,-6.09,-6.09,85.57,-20.99,0.94,-30.24,-83.01,-86,47.54,-30.22,-70.2,-8.82,54.31,49.4,-32.86,57.9,-25.03,-17.82,38.45,-20.63,-62.33,-40.04,0,100
326,-24,6.04,1.26,-6.04,-6.04,85.54,-21.64,1.98,-30.23,-83.44,-86.28,47.83,-30.71,-70.8,-8.75,54.78,49.24,-34.13,59.6,-25.47,-17.78,38.37,-20.59,-62.56,-39.55,0,100
327,-23,5.98,1.36,-5.98,-5.98,85.51,-22.32,3.03,-30.21,-83.86,-86.47,48.14,-31.19,-71.37,-8.7,55.12,49.07,-35.4,61.29,-25.89,-17.73,38.28,-20.55,-62.78,-39.04,0,100
328,-23,5.91,1.46,-5.91,-5.91,85.47,-23.01,4.09,-30.2,-84.26,-86.53,48.47,-31.66,-71.94,-8.65,55.33,48.88,-36.67,62.95,-26.28,-17.69,38.19,-20.5,-62.99,-38.52,0,100
329,-23,5.82,1.56,-5.82,-5.82,85.42,-23.71,5.16,-30.19,-84.65,-86.52,48.81,-32.11,-72.48,-8.6,55.4,48.68,-37.94,64.59,-26.65,-17.65,38.11,-20.47,-63.19,-37.99,0,100
330,-23,5.73,1.67,-5.73,-5.73,85.36,-24.42,6.23,-30.18,-85.03,-86.47,49.17,-32.54,-73.01,-8.55,55.35,48.46,-39.21,66.19,-26.99,-17.62,38.05,-20.43,-63.39,-37.44,0,100
331,-23,5.63,1.77,-5.63,-5.63,85.3,-25.14,7.3,-30.17,-85.38,-86.39,49.54,-32.94,-73.53,-8.5,55.18,48.22,-40.45,67.75,-27.3,-17.58,37.97,-20.39,-63.58,-36.89,0,100
332,-23,5.53,1.87,-5.53,-5.53,85.21,-25.87,8.39,-30.16,-85.71,-86.29,49.92,-33.32,-74.03,-8.45,54.9,47.97,-41.67,69.23,-27.56,-17.51,37.84,-20.33,-63.77,-36.32,0,100
333,-23,5.41,1.98,-5.41,-5.41,85.12,-26.59,9.47,-30.15,-86.01,-86.18,50.31,-33.67,-74.51,-8.39,54.51,47.69,-42.84,70.64,-27.79,-17.43,37.68,-20.25,-63.94,-35.76,0,100
334,-22,5.28,2.08,-5.28,-5.28,85.01,-27.32,10.56,-30.15,-86.3,-86.05,50.71,-33.98,-74.97,-8.32,54.02,47.4,-43.98,71.96,-27.98,-17.32,37.46,-20.14,-64.11,-35.18,0,100
335,-22,5.15,2.19,-5.15,-5.15,84.89,-28.04,11.65,-30.14,-86.59,-85.91,51.12,-34.26,-75.41,-8.24,53.43,47.09,-45.04,73.15,-28.11,-17.14,37.12,-19.97,-64.28,-34.6,0,100
336,-22,5.01,2.29,-5.01,-5.01,84.75,-28.76,12.74,-30.14,-86.88,-85.77,51.54,-34.49,-75.84,-8.14,52.74,46.75,-46.03,74.22,-28.19,-16.91,36.65,-19.74,-64.43,-34.03,0,100
337,-21,4.86,2.4,-4.86,-4.86,84.58,-29.46,13.84,-30.13,-87.16,-85.63,51.96,-34.68,-76.25,-8.03,51.95,46.4,-46.97,75.21,-28.24,-16.64,36.13,-19.49,-64.58,-33.45,0,100
338,-20,4.71,2.5,-4.71,-4.71,84.35,-30.16,14.93,-30.13,-87.44,-85.5,52.39,-34.82,-76.64,-7.89,51.08,46.03,-47.85,76.12,-28.26,-16.36,35.57,-19.21,-64.73,-32.87,0,100
339,-20,4.55,2.61,-4.55,-4.55,84,-30.83,16.02,-30.12,-87.72,-85.36,52.82,-34.91,-77.02,-7.73,50.11,45.63,-48.68,76.94,-28.26,-16.06,34.98,-18.92,-64.86,-32.3,0,100
340,-19,4.38,2.71,-4.38,-4.38,83.51,-31.49,17.12,-30.12,-87.99,-85.23,53.25,-34.93,-77.37,-7.55,49.06,45.21,-49.44,77.68,-28.24,-15.75,34.37,-18.62,-64.99,-31.73,0,100
341,-18,4.21,2.82,-4.21,-4.21,82.91,-32.13,18.21,-30.12,-88.24,-85.09,53.74,-34.93,-77.71,-7.35,47.92,44.66,-50.14,78.34,-28.2,-15.43,33.75,-18.32,-65.12,-31.17,0,100
342,-18,4.03,2.92,-4.03,-4.03,82.18,-32.74,19.3,-30.11,-88.49,-84.96,54.35,-34.93,-78.03,-7.13,46.7,43.91,-50.77,78.93,-28.15,-15.11,33.11,-18,-65.23,-30.61,0,100
343,-17,3.84,3.02,-3.84,-3.84,81.32,-33.33,20.38,-30.11,-88.72,-84.82,55.04,-34.92,-78.33,-6.91,45.41,42.99,-51.33,79.42,-28.09,-14.77,32.45,-17.68,-65.34,-30.07,0,100
344,-16,3.65,3.12,-3.65,-3.65,80.34,-33.88,21.46,-30.11,-88.94,-84.68,55.82,-34.91,-78.6,-6.68,44.04,41.91,-51.81,79.82,-28.01,-14.42,31.76,-17.34,-65.45,-29.53,0,100
345,-16,3.46,3.22,-3.46,-3.46,79.23,-34.4,22.54,-30.11,-89.15,-84.55,56.65,-34.88,-78.86,-6.44,42.6,40.73,-52.19,80.12,-27.93,-14.05,31.04,-16.98,-65.54,-29.01,0,100
346,-15,3.26,3.32,-3.26,-3.26,78,-34.89,23.61,-30.11,-89.33,-84.41,57.52,-34.84,-79.11,-6.19,41.08,39.46,-52.48,80.32,-27.83,-13.67,30.28,-16.61,-65.63,-28.5,0,100
347,-14,3.06,3.42,-3.06,-3.06,76.64,-35.34,24.67,-30.11,-89.5,-84.28,58.41,-34.79,-79.33,-5.93,39.51,38.14,-52.67,80.4,-27.72,-13.26,29.48,-16.22,-65.72,-28.01,0,100
348,-13,2.85,3.52,-2.85,-2.85,75.15,-35.74,25.73,-30.11,-89.64,-84.14,59.3,-34.71,-79.53,-5.67,37.87,36.8,-52.73,80.33,-27.59,-12.78,28.53,-15.75,-65.79,-27.54,0,100
349,-12,2.64,3.61,-2.64,-2.64,73.53,-36.1,26.78,-30.11,-89.76,-84.01,60.18,-34.62,-79.71,-5.4,36.17,35.47,-52.67,80.11,-27.45,-12.23,27.45,-15.22,-65.87,-27.08,0,100
350,-11,2.43,3.71,-2.43,-2.43,71.79,-36.42,27.83,-30.11,-89.86,-83.87,61.02,-34.5,-79.87,-5.13,34.41,34.17,-52.51,79.82,-27.31,-11.73,26.47,-14.74,-65.93,-26.65,0,100
351,-11,2.21,3.8,-2.21,-2.21,69.92,-36.68,28.86,-30.11,-89.93,-83.73,61.81,-34.36,-80.01,-4.85,32.6,32.96,-52.33,79.54,-27.21,-11.37,25.76,-14.39,-65.99,-26.24,0,100
352,-10,1.99,3.89,-1.99,-1.99,67.95,-36.89,29.88,-30.11,-89.98,-83.59,62.53,-34.19,-80.12,-4.56,30.73,31.84,-52.11,79.23,-27.13,-11.07,25.18,-14.1,-66.04,-25.85,0,100
353,-10,1.77,3.98,-1.77,-1.77,65.87,-37.04,30.89,-30.14,-89.99,-83.45,63.15,-33.99,-80.22,-4.28,28.82,30.86,-51.79,78.82,-27.02,-10.71,24.46,-13.75,-66.09,-25.49,0,100
354,-9,1.54,4.07,-1.54,-1.54,63.69,-37.14,31.9,-30.22,-89.96,-83.31,63.67,-33.75,-80.3,-3.98,26.86,30.04,-51.36,78.24,-26.88,-10.18,23.43,-13.25,-66.13,-25.15,0,100
355,-8,1.32,4.15,-1.32,-1.32,61.44,-37.17,32.89,-30.35,-89.87,-83.17,64.07,-33.48,-80.35,-3.69,24.86,29.42,-50.85,77.56,-26.71,-9.57,22.23,-12.66,-66.16,-24.84,0,100
356,-7,1.09,4.23,-1.09,-1.09,59.11,-37.15,33.86,-30.52,-89.72,-83.03,64.32,-33.16,-80.38,-3.39,22.81,29.02,-50.31,76.86,-26.55,-9.01,21.13,-12.12,-66.19,-24.57,0,100
357,-7,0.86,4.32,-0.86,-0.86,56.72,-37.11,34.83,-30.74,-89.5,-82.89,64.41,-32.81,-80.4,-3.09,20.74,28.88,-49.78,76.2,-26.42,-8.62,20.36,-11.74,-66.21,-24.32,0,100
358,-6,0.63,4.39,-0.63,-0.63,54.27,-37.04,35.78,-30.99,-89.2,-82.75,64.4,-32.41,-80.32,-2.79,18.62,28.95,-49.23,75.54,-26.31,-8.3,19.74,-11.44,-66.22,-24.11,0,100
359,-6,0.4,4.47,-0.4,-0.4,51.78,-36.94,36.71,-31.29,-88.82,-82.6,64.4,-31.94,-80.08,-2.49,16.48,29.16,-48.62,74.8,-26.18,-7.96,19.06,-11.1,-66.23,-23.93,0,100
360,-5,0.17,4.54,-0.17,-0.17,49.25,-36.81,37.63,-31.61,-88.36,-82.45,64.39,-31.43,-79.71,-2.19,14.31,29.49,-47.95,73.96,-26.01,-7.51,18.18,-10.67,-66.24,-23.79,0,100
361,-5,-0.06,4.61,0.06,0.06,46.69,-36.66,38.53,-31.96,-87.81,-82.31,64.37,-30.86,-79.2,-1.89,12.11,29.93,-47.22,73.06,-25.84,-7.02,17.22,-10.2,-66.24,-23.69,0,100
362,-4,-0.3,4.68,0.3,0.3,44.12,-36.49,39.42,-32.33,-87.17,-82.16,64.34,-30.26,-78.57,-1.59,9.89,30.47,-46.47,72.12,-25.65,-6.55,16.3,-9.75,-66.23,-23.63,0,100
363,-4,-0.53,4.74,0.53,0.53,41.55,-36.3,40.29,-32.73,-86.43,-82.01,64.3,-29.61,-77.83,-1.29,7.65,31.11,-45.69,71.16,-25.46,-6.1,15.43,-9.32,-66.23,-23.61,0,100
364,-4,-0.76,4.8,0.76,0.76,38.97,-36.09,41.14,-33.14,-85.58,-81.85,64.25,-28.93,-76.99,-1,5.39,31.82,-44.9,70.17,-25.27,-5.69,14.62,-8.93,-66.23,-23.61,0,100
365,-3,-0.99,4.86,0.99,0.99,36.41,-35.86,41.97,-33.57,-84.63,-81.7,64.18,-28.22,-76.06,-0.7,3.12,32.61,-44.11,69.21,-25.09,-5.44,14.12,-8.68,-66.22,-23.61,0,100
366,-3,-1.21,4.92,1.21,1.21,33.87,-35.61,42.78,-34.01,-83.57,-81.55,64.1,-27.49,-75.05,-0.41,0.83,33.46,-43.33,68.25,-24.92,-5.31,13.86,-8.55,-66.21,-23.62,0,100
367,-3,-1.44,4.97,1.44,1.44,31.36,-35.35,43.57,-34.45,-82.39,-81.39,64.01,-26.73,-73.98,-0.13,-1.46,34.35,-42.53,67.27,-24.74,-5.2,13.65,-8.45,-66.2,-23.62,0,100
368,-3,-1.66,5.02,1.66,1.66,28.89,-35.08,44.34,-34.9,-81.09,-81.23,63.89,-25.96,-72.85,0.16,-3.75,35.28,-41.72,66.26,-24.55,-5.13,13.52,-8.39,-66.19,-23.63,0,100
369,-3,-1.88,5.06,1.88,1.88,26.47,-34.79,45.09,-35.34,-79.66,-81.07,63.76,-25.18,-71.67,0.43,-6.05,36.24,-40.9,65.25,-24.35,-5.13,13.52,-8.39,-66.18,-23.64,0,100
370,-3,-2.1,5.1,2.1,2.1,24.11,-34.49,45.81,-35.79,-78.1,-80.9,63.6,-24.4,-70.46,0.71,-8.35,37.22,-40.09,64.25,-24.16,-5.23,13.71,-8.48,-66.17,-23.66,0,100
371,-3,-2.32,5.14,2.32,2.32,21.82,-34.19,46.51,-36.22,-76.41,-80.74,63.43,-23.61,-69.22,0.97,-10.64,38.2,-39.29,63.27,-23.98,-5.43,14.1,-8.67,-66.15,-23.67,0,100
372,-4,-2.53,5.17,2.53,2.53,19.6,-33.88,47.19,-36.64,-74.57,-80.57,63.22,-22.83,-67.97,1.23,-12.93,39.17,-38.58,62.44,-23.86,-5.99,15.19,-9.21,-66.14,-23.69,0,100
373,-5,-2.74,5.2,2.74,2.74,17.48,-33.56,47.84,-37.03,-72.59,-80.4,63,-22.06,-66.71,1.48,-15.2,40.13,-37.95,61.76,-23.81,-6.8,16.79,-9.99,-66.12,-23.71,0,100
374,-5,-2.95,5.23,2.95,2.95,15.46,-33.23,48.47,-37.36,-70.46,-80.22,62.74,-21.3,-65.46,1.73,-17.47,41.06,-37.3,61.03,-23.73,-7.48,18.12,-10.64,-66.1,-23.74,0,100
375,-6,-3.15,5.25,3.15,3.15,13.54,-32.91,49.06,-37.63,-68.18,-80.04,62.46,-20.56,-64.23,1.96,-19.72,41.95,-36.57,60.15,-23.58,-7.87,18.89,-11.02,-66.08,-23.76,0,100
376,-6,-3.35,5.26,3.35,3.35,11.74,-32.58,49.64,-37.87,-65.74,-79.84,62.14,-19.84,-63.03,2.19,-21.95,42.8,-35.82,59.21,-23.39,-8.18,19.5,-11.32,-66.05,-23.79,0,100
377,-7,-3.54,5.27,3.54,3.54,10.06,-32.25,50.18,-38.08,-63.13,-79.64,61.8,-19.16,-61.87,2.41,-24.16,43.59,-35.12,58.36,-23.24,-8.59,20.29,-11.71,-66.03,-23.83,0,100
378,-8,-3.73,5.28,3.73,3.73,8.52,-31.93,50.7,-38.27,-60.37,-79.43,61.42,-18.5,-60.76,2.61,-26.35,44.3,-34.51,57.66,-23.15,-9.17,21.44,-12.27,-66,-23.86,0,100
379,-8,-3.91,5.28,3.91,3.91,7.13,-31.6,51.18,-38.46,-57.48,-79.22,61.01,-17.88,-59.71,2.81,-28.51,44.94,-33.96,57.05,-23.09,-9.82,22.71,-12.89,-65.97,-23.9,0,100
380,-9,-4.09,5.28,4.09,4.09,5.89,-31.29,51.62,-38.64,-54.46,-79,60.56,-17.3,-58.73,3,-30.64,45.48,-33.41,56.44,-23.03,-10.4,23.85,-13.45,-65.94,-23.95,0,100
381,-10,-4.26,5.27,4.26,4.26,4.81,-30.97,52.02,-38.83,-51.33,-78.78,60.07,-16.77,-57.84,3.17,-32.74,45.92,-32.84,55.76,-22.92,-10.84,24.72,-13.88,-65.9,-23.99,0,100
382,-11,-4.43,5.26,4.43,4.43,3.91,-30.67,52.38,-39.04,-48.08,-78.55,59.54,-16.29,-57.04,3.33,-34.8,46.25,-32.29,55.09,-22.81,-11.24,25.5,-14.27,-65.87,-24.04,0,100
383,-11,-4.59,5.25,4.59,4.59,3.2,-30.37,52.71,-39.28,-44.73,-78.31,58.98,-15.87,-56.34,3.48,-36.83,46.46,-31.81,54.55,-22.74,-11.7,26.42,-14.71,-65.83,-24.09,0,99.98
384,-12,-4.74,5.23,4.74,4.74,2.67,-30.09,53,-39.57,-41.28,-78.08,58.36,-15.51,-55.75,3.62,-38.81,46.53,-31.46,54.22,-22.76,-12.32,27.62,-15.3,-65.79,-24.15,0,99.77
385,-14,-4.88,5.2,4.88,4.88,2.35,-29.81,53.26,-39.9,-37.74,-77.84,57.7,-15.19,-55.24,3.74,-40.75,46.35,-31.15,53.97,-22.82,-12.97,28.92,-15.94,-65.75,-24.21,0,98.94
386,-15,-5.02,5.17,5.02,5.02,2.24,-29.55,53.49,-40.29,-34.11,-77.61,56.97,-14.88,-54.73,3.85,-42.64,45.82,-30.76,53.58,-22.81,-13.52,29.99,-16.47,-65.7,-24.27,0,96.98
387,-15,-5.15,5.14,5.15,5.15,2.29,-29.31,53.69,-40.74,-30.41,-77.37,56.18,-14.58,-54.23,3.94,-44.48,44.97,-30.24,52.94,-22.7,-13.88,30.69,-16.81,-65.65,-24.34,0,93.44
388,-16,-5.28,5.1,5.28,5.28,2.43,-29.08,53.86,-41.28,-26.64,-77.13,55.34,-14.29,-53.75,4.02,-46.27,43.8,-29.63,52.16,-22.53,-14.15,31.22,-17.07,-65.6,-24.42,0,88.02
389,-16,-5.39,5.06,5.39,5.39,2.66,-28.86,54.01,-41.9,-22.8,-76.89,54.44,-14.02,-53.28,4.08,-48,42.33,-29.03,51.39,-22.36,-14.45,31.81,-17.37,-65.55,-24.49,0,80.66
390,-17,-5.5,5.02,5.5,5.5,2.98,-28.67,54.14,-42.63,-18.91,-76.66,53.5,-13.76,-52.82,4.12,-49.68,40.59,-28.49,50.74,-22.25,-14.86,32.62,-17.76,-65.49,-24.57,0,71.55
391,-18,-5.6,4.97,5.6,5.6,3.39,-28.5,54.24,-43.46,-14.97,-76.43,52.51,-13.51,-52.36,4.15,-51.29,38.58,-27.96,50.12,-22.15,-15.29,33.48,-18.18,-65.44,-24.66,0,61.13
392,-19,-5.68,4.92,5.68,5.68,3.87,-28.35,54.33,-44.41,-10.98,-76.2,51.48,-13.27,-51.93,4.16,-52.84,36.32,-27.39,49.4,-22.01,-15.66,34.19,-18.54,-65.38,-24.75,0,50
393,-19,-5.76,4.87,5.76,5.76,4.44,-28.23,54.39,-45.48,-6.96,-75.96,50.42,-13.04,-51.5,4.11,-54.32,33.84,-26.72,48.5,-21.78,-15.89,34.66,-18.76,-65.31,-24.84,0,38.87
394,-20,-5.83,4.82,5.83,5.83,5.09,-28.13,54.44,-46.69,-2.91,-75.7,49.33,-12.82,-51.08,3.97,-55.73,31.14,-26.01,47.52,-21.5,-16.07,35,-18.93,-65.25,-24.94,0,28.45
395,-20,-5.89,4.76,5.89,5.89,5.81,-28.05,54.48,-48.05,1.16,-75.42,48.2,-12.62,-50.68,3.74,-57.06,28.25,-25.33,46.57,-21.24,-16.26,35.38,-19.12,-65.18,-25.04,0,19.34
396,-21,-5.94,4.7,5.94,5.94,6.6,-28.01,54.5,-49.51,5.25,-75.13,47.05,-12.42,-50.28,3.43,-58.32,25.18,-24.72,45.74,-21.02,-16.52,35.89,-19.37,-65.11,-25.15,0,11.98
397,-21,-5.98,4.63,5.98,5.98,7.46,-27.99,54.52,-51.02,9.34,-74.82,45.88,-12.24,-49.9,3.05,-59.5,21.95,-24.15,44.98,-20.83,-16.79,36.43,-19.64,-65.03,-25.26,0,6.56
398,-22,-6.01,4.57,6.01,6.01,8.39,-28.02,54.52,-52.57,13.44,-74.52,44.7,-12.06,-49.53,2.59,-60.6,18.57,-23.57,44.19,-20.62,-17.03,36.89,-19.86,-64.95,-25.38,0,3.02
399,-22,-6.03,4.5,6.03,6.03,9.38,-28.1,54.46,-54.16,17.53,-74.2,43.5,-11.89,-49.18,2.07,-61.62,15.07,-22.98,43.34,-20.36,-17.19,37.21,-20.02,-64.87,-25.51,0,1.06
400,-22,-6.03,4.43,6.03,6.03,10.44,-28.23,54.27,-55.78,21.6,-73.89,42.29,-11.73,-48.83,1.49,-62.54,11.45,-22.39,42.49,-20.1,-17.31,37.46,-20.14,-64.79,-25.63,0,0.23
401,-23,-6.03,4.36,6.03,6.03,11.56,-28.4,53.97,-57.44,25.66,-73.59,41.08,-11.59,-48.5,0.85,-63.38,7.74,-21.86,41.71,-19.85,-17.44,37.7,-20.26,-64.7,-25.77,0,0.02
402,-23,-6.03,4.28,6.03,6.03,12.73,-28.62,53.55,-59.11,29.69,-73.29,39.87,-11.45,-48.18,0.16,-64.12,3.95,-21.39,41.04,-19.65,-17.58,37.97,-20.4,-64.61,-25.91,0,0
403,-23,-6.03,4.21,6.03,6.03,13.96,-28.89,53.03,-60.81,33.69,-73,38.66,-11.31,-47.87,-0.57,-64.77,0.1,-21,40.48,-19.48,-17.71,38.24,-20.53,-64.52,-26.05,0,0
404,-24,-6.02,4.13,6.02,6.02,15.24,-29.19,52.41,-62.52,37.65,-72.72,37.46,-11.19,-47.57,-1.34,-65.31,-3.8,-20.69,40.05,-19.36,-17.86,38.52,-20.67,-64.42,-26.2,0,0
405,-24,-6.02,4.05,6.02,6.02,16.56,-29.53,51.7,-64.25,41.56,-72.47,36.27,-11.08,-47.29,-2.15,-65.76,-7.72,-20.49,39.8,-19.31,-18.02,38.85,-20.83,-64.32,-26.36,0,0
406,-25,-6.01,3.97,6.01,6.01,17.94,-29.91,50.9,-65.98,45.41,-72.24,35.1,-10.97,-47.02,-2.98,-66.1,-11.65,-20.39,39.71,-19.32,-18.19,39.18,-20.99,-64.22,-26.52,0,0
407,-25,-6.01,3.89,6.01,6.01,19.36,-30.32,50.01,-67.72,49.21,-72.03,33.94,-10.87,-46.76,-3.83,-66.38,-15.58,-20.34,39.68,-19.34,-18.31,39.42,-21.11,-64.12,-26.69,0,0
408,-25,-6,3.81,6,6,20.82,-30.76,49.05,-69.45,52.94,-71.86,32.81,-10.78,-46.51,-4.71,-66.66,-19.48,-20.36,39.74,-19.38,-18.39,39.57,-21.18,-64.01,-26.86,0,0
409,-25,-5.99,3.73,5.99,5.99,22.31,-31.23,48.01,-71.18,56.59,-71.71,31.7,-10.69,-46.28,-5.59,-66.93,-23.34,-20.44,39.88,-19.44,-18.46,39.71,-21.25,-63.89,-27.04,0,0
